"MGT","Management-OWEN","6465","Marketing Models","OGSM","LEC","GSM","P"
"FNTE","Foreign Programs-Engineering","0802","Mexico - Guadalajara","ENGIN","LEC","UGRD","P"
"MATH","Mathematics","2820L","Statistics Laboratory","A&amp;S","LAB","UGRD","P"
"HART","History Of Art","1001","Commons Seminar","A&amp;S","SEM","UGRD","P"
"MATH","Mathematics","5310","Introduction to Mathematical Logic","A&amp;S","LEC","GRAD","P"
"KICH","K'iche' - Mayan Language","1102","Elementary K'iche' II","A&amp;S","LEC","UGRD","P"
"PSCI","Political Science","1101","Introduction to Comparative Politics","A&amp;S","LEC","UGRD","P"
"CE","Civil Engineering","3890","SPECIAL TOPICS          ","ENGIN","LEC","UGRD","P"
"EDUC","Education","8010","FOUNDATIONS OF EDUCATION","PBDY","LEC","GRAD","P"
"EMGT","Executive Management","7756","Creating and Launching New Ventures (AMBA)","OGSM","LEC","GSM","P"
"CHEM","Chemistry","4999","Honors Research","A&amp;S","SRT","UGRD","P"
"SPEDH","Special Education: High Incidence","3328","ADAPTED &amp; DEVELOP P E   ","PBDY","LEC","UGRD","P"
"PSY-PC","Psychology-PC","7940","Directed Research in Applied Child Studies","PBDY","DIR","PBDP","ET"
"REL","Religion","6708","Christianity In The Reformation Era","GS","DSC","GRAD","P"
"VOIC","Performance Instruction: Voice","1000","Voice Performance Class","BLAIR","PER","UGRD","P"
"MGT","Management-OWEN","6559","Launching the Venture I","OGSM","LEC","GSM","P"
"HIST","History","2590","American Indian History since 1850","A&amp;S","LEC","UGRD","P"
"RUSS","Russian","1111","First-Year Writing Seminar","A&amp;S","FWS","UGRD","P"
"LAT","Latin","3120","Lucretius: De Rerum Natura","A&amp;S","SEM","UGRD","P"
"HART","History Of Art","2780","History of Western Urbanism","A&amp;S","LEC","UGRD","P"
"PSY-PC","Psychology-PC","7960","Independent Study in Child Studies","PBDY","IND","PBDP","ET"
"PSY","Psychology (AS)","8744","Seminar: Neuroscience","A&amp;S","SEM","GRAD","P"
"LAW","Law","8090","International Law Practice Lab","LAW","CLN","LAW","P"
"ME","Mechanical Engineering","1151","Laboratory in Machining","ENGIN","LEC","UGRD","P"
"MGT","Management-OWEN","6435","COMMERCIAL BANKING      ","OGSM","LEC","GSM","P"
"HIST","History","5590","American Indian History since 1850","A&amp;S","LEC","GRAD","P"
"PIAN","Performance Instruction: Piano","1100","Piano                   ","BLAIR","PER","UGRD","P"
"CE","Civil Engineering","5430","Building Systems and LEED","ENGIN","LEC","GRAD","P"
"SPEDH","Special Education: High Incidence","7440","Teaching Middle School Students with Severe and Persistent Academic and Behavior Difficulties","PBDY","LEC","PBDP","P"
"EECE","Electrical &amp; Computer Engineering","2218","Microcontrollers","ENGIN","LEC","UGRD","P"
"DIV","Divinity","7054","Psych Of Rel","DIV","SEM","DIV","P"
"CHEM","Chemistry","3600","Chemical Literature","A&amp;S","LEC","UGRD","P"
"ENED","English Education","2430","Fostering Language in Classrooms","PBDY","LEC","UGRD","P"
"CE","Civil Engineering","3841","DIRECTED STUDY          ","ENGIN","DIR","UGRD","P"
"MUSL","Music Literature and History","4978","Senior Thesis","BLAIR","SRT","UGRD","P"
"ANTH","Anthropology","1201W","Introduction to Archaeology","A&amp;S","SEM","UGRD","P"
"MATH","Mathematics","1100","Survey of Calculus","A&amp;S","DSC","UGRD","P"
"ASTR","Astronomy","2130","THEORIES OF THE UNIVERSE","A&amp;S","LEC","UGRD","P"
"MUED","Music Teacher Education","1020","Brass Methods","BLAIR","SEM","UGRD","P"
"PSY","Psychology (AS)","2100","Quantitative Methods","A&amp;S","LEC","UGRD","P"
"ENGM","Engineering Management","3010","Systems Engineering","ENGIN","LEC","UGRD","P"
"ENGL","English","2310","Representative British Writers","A&amp;S","LEC","UGRD","P"
"EDUC","Education","7990","Master's Thesis in Education","PBDY","THS","PBDP","ET"
"MGT","Management-OWEN","6015","Strat For Health Care IT","OGSM","LEC","GSM","P"
"MDE","Education Of The Deaf","5390","Curriculum and Methods for Deaf Children","MED","MTH","MEDM","P"
"MGT","Management-OWEN","6542","User Centered Design I","OGSM","LEC","GSM","P"
"SPAN","Spanish","4410","Modern Spanish Literature","A&amp;S","SEM","UGRD","P"
"DIV","Divinity","5475","Daoist Tradition","DIV","LEC","DIV","P"
"CMA","Cinema and Media Arts","2260","Digital Production Workshop","A&amp;S","SEM","UGRD","P"
"ITA","Italian","3240","RDGS FR DIVINIA COMMEDIA","A&amp;S","LEC","UGRD","P"
"EDUC","Education","3115","METH LANG DEVL &amp; RDNG   ","PBDY","LEC","UGRD","P"
"HIST","History","1090","Modern Japan. (Formerly 249)","A&amp;S","LEC","UGRD","P"
"CSET","Communication of Science and Technology","4998","Honors Thesis","A&amp;S","SRT","UGRD","P"
"PSY-PC","Psychology-PC","7950","Child Development Practicum/Field Experience","PBDY","PRC","PBDP","ET"
"HIST","History","1691","Evolution of Warfare","A&amp;S","LEC","UGRD","P"
"SPEDE","Special Education: Early Childhood Education","7953","Advanced Field Work in Early Childhood Special Education","PBDY","PRC","PBDP","P"
"MGT","Management-OWEN","6565","Internet Marketing Strategy and Analytics","OGSM","LEC","GSM","P"
"EDUC","Education","7810","Inquiry into Contexts","PBDY","LEC","PBDP","P"
"NURO","Neuroscience (GS)","8327","Graduate Neuroanatomy   ","GS","LEC","GRAD","P"
"PERC","Performance Instruction: Percussion","2200","Percussion (Performance Majors Freshmen/Sophomores)","BLAIR","PER","UGRD","P"
"EDUC","Education","6541","Practicum for ELL Education II","PBDY","PRC","PBDP","ET"
"FNTM","Foreign Program Work","0923","Israel -Tel Aviv University","A&amp;S","LEC","UGRD","P"
"ECON","Economics","3010","Intermediate Microeconomic Theory","A&amp;S","LEC","UGRD","P"
"HDC","Human Development Counseling","6220","Advanced Seminar in Counseling","PBDY","SEM","PBDP","P"
"ENGL","English","2200","Foundations of Literary Study","A&amp;S","LEC","UGRD","P"
"MUSE","Ensembles","1220","Steel Drum/Pan Ensemble","BLAIR","PER","UGRD","P"
"LAW","Law","6729","Civil Practice Clinic","LAW","CLN","LAW","P"
"HODI","H&amp;OD: International Leadership and Policy","3220","International Organizations and Economic Development","PBDY","LEC","UGRD","P"
"MUSL","Music Literature and History","1350","Music, Art, and Disability","BLAIR","LEC","UGRD","P"
"MGT","Management-OWEN","6902","PRACT TRAIN INTERNSHIP  ","OGSM","LEC","GSM","P"
"ES","Engineering Science","1115","FRESHMAN SEMINARS       ","ENGIN","SEM","UGRD","P"
"ARTS","Art Studio","2502","Advanced Installation Art","A&amp;S","STD","UGRD","P"
"MGT","Management-OWEN","6432","Corporate Financial Policy","OGSM","LEC","GSM","P"
