"HART","History Of Art","3883","Internship Research","A&amp;S","INT","UGRD","EA"
"RUSS","Russian","3303","Advanced Grammar and Reading","A&amp;S","LEC","UGRD","P"
"HIST","History","1410","U.S. 1877-1945: Reconstruction through World War II. (Formerly 274)","A&amp;S","DSC","UGRD","P"
"BASS","Performance Instruction: Bass","1000","Bass Performance Class","BLAIR","PER","UGRD","P"
"REL","Religion","6826","Political Theology and the Philosopher's Paul","GS","SEM","GRAD","P"
"PSY-PC","Psychology-PC","7940","EDS INDEP STUDY PSY     ","PBDY","DIR","PBDP","P"
"UNIV","University Courses","0000","Football Practice","VANDY","LEC","UGRD","P"
"EDUC","Education","3116","Practicum in Teaching Early Childhood Reading and Language Arts","PBDY","PRC","UGRD","P"
"ENVE","Environmental Engineering","4705","Physical Hydrology","ENGIN","LEC","UGRD","P"
"FNTM","Foreign Program Work","0881","Vanderbilt In Germany   ","A&amp;S","LEC","UGRD","EA"
"SPED","Special Education","7430","ADV ADAPT DEV PE        ","PBDY","LEC","PBDP","P"
"RAMT","Therapeutic Radiology","5301","Medical Physics Seminar I","MED","SEM","MEDM","P"
"LAW","Law","7296","Introduction to Accounting","LAW","LEC","LAW","P"
"HLP","Higher Education Leadership and Policy","8250","Advanced Postsecondary Access","PBDY","LEC","PBDP","P"
"SPEDV","Special Education: Visual Impairments","7520","Educational Procedures for Visually Impaired Learners","PBDY","LEC","PBDP","P"
"OBOE","Performance Instruction: Oboe","4100","Oboe  (Musical Arts Juniors/Seniors)","BLAIR","PER","UGRD","P"
"RAMT","Therapeutic Radiology","5393","Doctoral Independent Study (Therapeutic)","MED","IND","MEDM","P"
"MREP","Music Repertoire/Literature","2120","Orchestral Repertoire for Percussion","BLAIR","SEM","UGRD","P"
"SPED","Special Education","2310","INTRO ED MEAS CLSRM TCHR","PBDY","LEC","UGRD","P"
"MUSE","Ensembles","1210","Steel Drum/Pan Ensemble","BLAIR","PER","UGRD","P"
"SPAN","Spanish","3301W","Intermediate Spanish Writing","A&amp;S","SEM","UGRD","P"
"PSY-GS","Psychology and Human Development (GS)","8999","Mental Health Serv      ","GS","DIS","GRAD","P"
"PSCI","Political Science","2251","The Politics of U.S. and Global Immigration","A&amp;S","LEC","UGRD","P"
"DIV","Divinity","5402","THEMES EASTERN RELIGIONS","DIV","LEC","DIV","P"
"PHYS","Physics","1602","GENERAL PHYSICS         ","A&amp;S","LEC","UGRD","P"
"SLP","Speech Language Pathology","5397","Speech-Language-Literacy Seminar","MED","SEM","MEDM","P"
"CS","Computer Science","3281","OPER SYS PRIN I         ","ENGIN","LEC","UGRD","P"
"EES","Earth and Environmental Sciences","5650","Physics of the Climate System","A&amp;S","SEM","GRAD","P"
"EPID","Epidemiology","8330","Training in Molecular and Genetic Epidemiology of Cancer (MAGEC)","GS","SEM","GRAD","P"
"EDUC","Education","8999","CAREER EDUC/COUNSELING  ","PBDY","RES","GRAD","ET"
"PSY-GS","Psychology and Human Development (GS)","9950","Clin Appl &amp; Practucum I ","PBDY","PRC","GRAD","ET"
"MGT","Management-OWEN","6674","Independent Study in Operations Management","OGSM","IND","GSM","P"
